Zeitraum,Menge HT (kWh),Menge NT (kWh),Menge Total (kWh),Maximale Leistung (kW)
29.12.2022 06:00 - 06:15,0,0.024000000208616257,0.024000000208616257,0.09600000083446503
29.12.2022 06:15 - 06:30,0,0.04600000008940697,0.04600000008940697,0.18400000035762787
29.12.2022 06:30 - 06:45,0,0.04800000041723251,0.04800000041723251,0.19200000166893005
29.12.2022 06:45 - 07:00,0,0.03500000014901161,0.03500000014901161,0.14000000059604645
29.12.2022 07:00 - 07:15,0.02199999988079071,0,0.02199999988079071,0.08799999952316284
29.12.2022 07:15 - 07:30,0.027000000700354576,0,0.027000000700354576,0.1080000028014183
29.12.2022 07:30 - 07:45,0.210999995470047,0,0.210999995470047,0.843999981880188
29.12.2022 07:45 - 08:00,0.0729999989271164,0,0.0729999989271164,0.2919999957084656
29.12.2022 08:00 - 08:15,0.04100000113248825,0,0.04100000113248825,0.164000004529953
29.12.2022 08:15 - 08:30,0.020999999716877937,0,0.020999999716877937,0.08399999886751175
29.12.2022 08:30 - 08:45,0.03200000151991844,0,0.03200000151991844,0.12800000607967377
29.12.2022 08:45 - 09:00,0.032999999821186066,0,0.032999999821186066,0.13199999928474426
29.12.2022 09:00 - 09:15,0.032999999821186066,0,0.032999999821186066,0.13199999928474426
29.12.2022 09:15 - 09:30,0.04100000113248825,0,0.04100000113248825,0.164000004529953
29.12.2022 09:30 - 09:45,0.035999998450279236,0,0.035999998450279236,0.14399999380111694
29.12.2022 09:45 - 10:00,0.03500000014901161,0,0.03500000014901161,0.14000000059604645
29.12.2022 10:00 - 10:15,0.028999999165534973,0,0.028999999165534973,0.11599999666213989
29.12.2022 10:15 - 10:30,0.027000000700354576,0,0.027000000700354576,0.1080000028014183
29.12.2022 10:30 - 10:45,0.039000000804662704,0,0.039000000804662704,0.15600000321865082
29.12.2022 10:45 - 11:00,0.6349999904632568,0,0.6349999904632568,2.5399999618530273
29.12.2022 11:00 - 11:15,0.43299999833106995,0,0.43299999833106995,1.7319999933242798
29.12.2022 11:15 - 11:30,0.07100000232458115,0,0.07100000232458115,0.2840000092983246
29.12.2022 11:30 - 11:45,0.17100000381469727,0,0.17100000381469727,0.6840000152587891
29.12.2022 11:45 - 12:00,0.07999999821186066,0,0.07999999821186066,0.3199999928474426
29.12.2022 12:00 - 12:15,0.1979999989271164,0,0.1979999989271164,0.7919999957084656
29.12.2022 12:15 - 12:30,0.050999999046325684,0,0.050999999046325684,0.20399999618530273
29.12.2022 12:30 - 12:45,0.027000000700354576,0,0.027000000700354576,0.1080000028014183
29.12.2022 12:45 - 13:00,0.026000000536441803,0,0.026000000536441803,0.10400000214576721
29.12.2022 13:00 - 13:15,0.03500000014901161,0,0.03500000014901161,0.14000000059604645
29.12.2022 13:15 - 13:30,0.14800000190734863,0,0.14800000190734863,0.5920000076293945
29.12.2022 13:30 - 13:45,0.18000000715255737,0,0.18000000715255737,0.7200000286102295
29.12.2022 13:45 - 14:00,0.17900000512599945,0,0.17900000512599945,0.7160000205039978
29.12.2022 14:00 - 14:15,0.18400000035762787,0,0.18400000035762787,0.7360000014305115
29.12.2022 14:15 - 14:30,0.1979999989271164,0,0.1979999989271164,0.7919999957084656
29.12.2022 14:30 - 14:45,0.2070000022649765,0,0.2070000022649765,0.828000009059906
29.12.2022 14:45 - 15:00,0.19300000369548798,0,0.19300000369548798,0.7720000147819519
29.12.2022 15:00 - 15:15,0.1899999976158142,0,0.1899999976158142,0.7599999904632568
29.12.2022 15:15 - 15:30,0.19099999964237213,0,0.19099999964237213,0.7639999985694885
29.12.2022 15:30 - 15:45,0.08500000089406967,0,0.08500000089406967,0.3400000035762787
29.12.2022 15:45 - 16:00,0.08299999684095383,0,0.08299999684095383,0.3319999873638153
29.12.2022 16:00 - 16:15,0.0820000022649765,0,0.0820000022649765,0.328000009059906
29.12.2022 16:15 - 16:30,0.06599999964237213,0,0.06599999964237213,0.2639999985694885
29.12.2022 16:30 - 16:45,0.06400000303983688,0,0.06400000303983688,0.25600001215934753
29.12.2022 16:45 - 17:00,0.07500000298023224,0,0.07500000298023224,0.30000001192092896
29.12.2022 17:00 - 17:15,0.0689999982714653,0,0.0689999982714653,0.2759999930858612
29.12.2022 17:15 - 17:30,0.0820000022649765,0,0.0820000022649765,0.328000009059906
29.12.2022 17:30 - 17:45,0.09799999743700027,0,0.09799999743700027,0.3919999897480011
29.12.2022 17:45 - 18:00,0.10100000351667404,0,0.10100000351667404,0.40400001406669617
29.12.2022 18:00 - 18:15,0.09200000017881393,0,0.09200000017881393,0.36800000071525574
29.12.2022 18:15 - 18:30,0.08399999886751175,0,0.08399999886751175,0.335999995470047
29.12.2022 18:30 - 18:45,0.0989999994635582,0,0.0989999994635582,0.3959999978542328
29.12.2022 18:45 - 19:00,0.1379999965429306,0,0.1379999965429306,0.5519999861717224
29.12.2022 19:00 - 19:15,0.125,0,0.125,0.5
29.12.2022 19:15 - 19:30,0.12600000202655792,0,0.12600000202655792,0.5040000081062317
29.12.2022 19:30 - 19:45,0.11299999803304672,0,0.11299999803304672,0.4519999921321869
29.12.2022 19:45 - 20:00,0.11400000005960464,0,0.11400000005960464,0.4560000002384186
29.12.2022 20:00 - 20:15,0.11900000274181366,0,0.11900000274181366,0.47600001096725464
29.12.2022 20:15 - 20:30,0.15199999511241913,0,0.15199999511241913,0.6079999804496765
29.12.2022 20:30 - 20:45,0.164000004529953,0,0.164000004529953,0.656000018119812
29.12.2022 20:45 - 21:00,0.16200000047683716,0,0.16200000047683716,0.6480000019073486
29.12.2022 21:00 - 21:15,0.20000000298023224,0,0.20000000298023224,0.800000011920929
29.12.2022 21:15 - 21:30,0.21799999475479126,0,0.21799999475479126,0.871999979019165
29.12.2022 21:30 - 21:45,0.21199999749660492,0,0.21199999749660492,0.8479999899864197
29.12.2022 21:45 - 22:00,0.19900000095367432,0,0.19900000095367432,0.7960000038146973
29.12.2022 22:00 - 22:15,0,0.19599999487400055,0.19599999487400055,0.7839999794960022
29.12.2022 22:15 - 22:30,0,0.2029999941587448,0.2029999941587448,0.8119999766349792
29.12.2022 22:30 - 22:45,0,0.20800000429153442,0.20800000429153442,0.8320000171661377
29.12.2022 22:45 - 23:00,0,0.22100000083446503,0.22100000083446503,0.8840000033378601
29.12.2022 23:00 - 23:15,0,0.2150000035762787,0.2150000035762787,0.8600000143051147
29.12.2022 23:15 - 23:30,0,0.20399999618530273,0.20399999618530273,0.8159999847412109
29.12.2022 23:30 - 23:45,0,0.1860000044107437,0.1860000044107437,0.7440000176429749
29.12.2022 23:45 - 00:00,0,0.1720000058412552,0.1720000058412552,0.6880000233650208
30.12.2022 00:00 - 00:15,0,0.17599999904632568,0.17599999904632568,0.7039999961853027
30.12.2022 00:15 - 00:30,0,0.3199999928474426,0.3199999928474426,1.2799999713897705
30.12.2022 00:30 - 00:45,0,0.6620000004768372,0.6620000004768372,2.6480000019073486
30.12.2022 00:45 - 01:00,0,0.652999997138977,0.652999997138977,2.611999988555908
30.12.2022 01:00 - 01:15,0,0.33000001311302185,0.33000001311302185,1.3200000524520874
30.12.2022 01:15 - 01:30,0,0.19499999284744263,0.19499999284744263,0.7799999713897705
30.12.2022 01:30 - 01:45,0,0.20900000631809235,0.20900000631809235,0.8360000252723694
30.12.2022 01:45 - 02:00,0,0.31200000643730164,0.31200000643730164,1.2480000257492065
30.12.2022 02:00 - 02:15,0,0.2280000001192093,0.2280000001192093,0.9120000004768372
30.12.2022 02:15 - 02:30,0,0.16200000047683716,0.16200000047683716,0.6480000019073486
30.12.2022 02:30 - 02:45,0,0.2240000069141388,0.2240000069141388,0.8960000276565552
30.12.2022 02:45 - 03:00,0,0.19699999690055847,0.19699999690055847,0.7879999876022339
30.12.2022 03:00 - 03:15,0,0.2029999941587448,0.2029999941587448,0.8119999766349792
30.12.2022 03:15 - 03:30,0,0.2150000035762787,0.2150000035762787,0.8600000143051147
30.12.2022 03:30 - 03:45,0,0.20900000631809235,0.20900000631809235,0.8360000252723694
30.12.2022 03:45 - 04:00,0,0.20999999344348907,0.20999999344348907,0.8399999737739563
30.12.2022 04:00 - 04:15,0,0.23000000417232513,0.23000000417232513,0.9200000166893005
30.12.2022 04:15 - 04:30,0,0.1809999942779541,0.1809999942779541,0.7239999771118164
30.12.2022 04:30 - 04:45,0,0.10100000351667404,0.10100000351667404,0.40400001406669617
30.12.2022 04:45 - 05:00,0,0.08500000089406967,0.08500000089406967,0.3400000035762787
30.12.2022 05:00 - 05:15,0,0.08100000023841858,0.08100000023841858,0.3240000009536743
30.12.2022 05:15 - 05:30,0,0.09600000083446503,0.09600000083446503,0.3840000033378601
30.12.2022 05:30 - 05:45,0,0.09200000017881393,0.09200000017881393,0.36800000071525574
30.12.2022 05:45 - 06:00,0,0.08100000023841858,0.08100000023841858,0.3240000009536743
